observation_date,DEXUSAL
2015-01-02,0.8118
2015-01-05,0.8095
2015-01-06,0.8118
2015-01-07,0.8049
2015-01-08,0.8126
2015-01-09,0.8191
2015-01-12,0.8165
2015-01-13,0.8164
2015-01-14,0.8163
2015-01-15,0.8212
2015-01-16,0.8194
2015-01-19,
2015-01-20,0.8177
2015-01-21,0.8101
2015-01-22,0.8099
2015-01-23,0.7935
2015-01-26,0.7934
2015-01-27,0.7939
2015-01-28,0.7973
2015-01-29,0.7758
2015-01-30,0.7762
2015-02-02,0.7818
2015-02-03,0.7737
2015-02-04,0.7761
2015-02-05,0.7803
2015-02-06,0.7807
2015-02-09,0.7813
2015-02-10,0.7781
2015-02-11,0.7713
2015-02-12,0.7763
2015-02-13,0.7772
2015-02-16,
2015-02-17,0.7816
2015-02-18,0.7778
2015-02-19,0.7810
2015-02-20,0.7833
2015-02-23,0.7807
2015-02-24,0.7808
2015-02-25,0.7898
2015-02-26,0.7816
2015-02-27,0.7810
2015-03-02,0.7780
2015-03-03,0.7840
2015-03-04,0.7821
2015-03-05,0.7763
2015-03-06,0.7712
2015-03-09,0.7716
2015-03-10,0.7637
2015-03-11,0.7582
2015-03-12,0.7705
2015-03-13,0.7631
2015-03-16,0.7656
2015-03-17,0.7615
2015-03-18,0.7653
2015-03-19,0.7618
2015-03-20,0.7759
2015-03-23,0.7848
2015-03-24,0.7869
2015-03-25,0.7856
2015-03-26,0.7836
2015-03-27,0.7754
2015-03-30,0.7645
2015-03-31,0.7625
2015-04-01,0.7615
2015-04-02,0.7566
2015-04-03,0.7645
2015-04-06,0.7657
2015-04-07,0.7646
2015-04-08,0.7715
2015-04-09,0.7706
2015-04-10,0.7674
2015-04-13,0.7579
2015-04-14,0.7638
2015-04-15,0.7610
2015-04-16,0.7796
2015-04-17,0.7776
2015-04-20,0.7727
2015-04-21,0.7741
2015-04-22,0.7771
2015-04-23,0.7782
2015-04-24,0.7825
2015-04-27,0.7859
2015-04-28,0.8017
2015-04-29,0.8065
2015-04-30,0.7867
2015-05-01,0.7813
2015-05-04,0.7839
2015-05-05,0.7941
2015-05-06,0.8005
2015-05-07,0.7914
2015-05-08,0.7914
2015-05-11,0.7899
2015-05-12,0.7989
2015-05-13,0.8118
2015-05-14,0.8082
2015-05-15,0.8053
2015-05-18,0.8001
2015-05-19,0.7918
2015-05-20,0.7877
2015-05-21,0.7888
2015-05-22,0.7828
2015-05-25,
2015-05-26,0.7738
2015-05-27,0.7712
2015-05-28,0.7631
2015-05-29,0.7659
2015-06-01,0.7613
2015-06-02,0.7748
2015-06-03,0.7803
2015-06-04,0.7673
2015-06-05,0.7622
2015-06-08,0.7650
2015-06-09,0.7685
2015-06-10,0.7749
2015-06-11,0.7726
2015-06-12,0.7742
2015-06-15,0.7767
2015-06-16,0.7753
2015-06-17,0.7667
2015-06-18,0.7831
2015-06-19,0.7758
2015-06-22,0.7745
2015-06-23,0.7739
2015-06-24,0.7689
2015-06-25,0.7741
2015-06-26,0.7650
2015-06-29,0.7677
2015-06-30,0.7704
2015-07-01,0.7664
2015-07-02,0.7630
2015-07-03,
2015-07-06,0.7521
2015-07-07,0.7435
2015-07-08,0.7445
2015-07-09,0.7438
2015-07-10,0.7427
2015-07-13,0.7407
2015-07-14,0.7450
2015-07-15,0.7366
2015-07-16,0.7430
2015-07-17,0.7371
2015-07-20,0.7380
2015-07-21,0.7429
2015-07-22,0.7368
2015-07-23,0.7375
2015-07-24,0.7279
2015-07-27,0.7304
2015-07-28,0.7325
2015-07-29,0.7307
2015-07-30,0.7278
2015-07-31,0.7332
2015-08-03,0.7277
2015-08-04,0.7419
2015-08-05,0.7346
2015-08-06,0.7343
2015-08-07,0.7393
2015-08-10,0.7404
2015-08-11,0.7288
2015-08-12,0.7375
2015-08-13,0.7361
2015-08-14,0.7376
2015-08-17,0.7386
2015-08-18,0.7334
2015-08-19,0.7316
2015-08-20,0.7357
2015-08-21,0.7343
2015-08-24,0.7202
2015-08-25,0.7183
2015-08-26,0.7087
2015-08-27,0.7179
2015-08-28,0.7129
2015-08-31,0.7100
2015-09-01,0.7036
2015-09-02,0.7011
2015-09-03,0.7025
2015-09-04,0.6917
2015-09-07,
2015-09-08,0.7023
2015-09-09,0.7024
2015-09-10,0.7086
2015-09-11,0.7074
2015-09-14,0.7137
2015-09-15,0.7092
2015-09-16,0.7186
2015-09-17,0.7147
2015-09-18,0.7222
2015-09-21,0.7125
2015-09-22,0.7078
2015-09-23,0.7004
2015-09-24,0.6998
2015-09-25,0.7014
2015-09-28,0.7005
2015-09-29,0.7007
2015-09-30,0.7020
2015-10-01,0.7044
2015-10-02,0.7025
2015-10-05,0.7088
2015-10-06,0.7143
2015-10-07,0.7213
2015-10-08,0.7225
2015-10-09,0.7328
2015-10-12,
2015-10-13,0.7283
2015-10-14,0.7256
2015-10-15,0.7316
2015-10-16,0.7261
2015-10-19,0.7254
2015-10-20,0.7256
2015-10-21,0.7226
2015-10-22,0.7220
2015-10-23,0.7215
2015-10-26,0.7262
2015-10-27,0.7233
2015-10-28,0.7143
2015-10-29,0.7081
2015-10-30,0.7133
2015-11-02,0.7141
2015-11-03,0.7173
2015-11-04,0.7148
2015-11-05,0.7148
2015-11-06,0.7034
2015-11-09,0.7046
2015-11-10,0.7030
2015-11-11,
2015-11-12,0.7116
2015-11-13,0.7118
2015-11-16,0.7085
2015-11-17,0.7115
2015-11-18,0.7078
2015-11-19,0.7208
2015-11-20,0.7233
2015-11-23,0.7188
2015-11-24,0.7241
2015-11-25,0.7246
2015-11-26,
2015-11-27,0.7192
2015-11-30,0.7235
2015-12-01,0.7320
2015-12-02,0.7309
2015-12-03,0.7310
2015-12-04,0.7346
2015-12-07,0.7268
2015-12-08,0.7211
2015-12-09,0.7204
2015-12-10,0.7299
2015-12-11,0.7214
2015-12-14,0.7258
2015-12-15,0.7176
2015-12-16,0.7207
2015-12-17,0.7100
2015-12-18,0.7197
2015-12-21,0.7172
2015-12-22,0.7231
2015-12-23,0.7221
2015-12-24,0.7269
2015-12-25,
2015-12-28,0.7262
2015-12-29,0.7293
2015-12-30,0.7284
2015-12-31,0.7286
2016-01-01,
2016-01-04,0.7166
2016-01-05,0.7151
2016-01-06,0.7070
2016-01-07,0.7025
2016-01-08,0.6976
2016-01-11,0.6992
2016-01-12,0.6975
2016-01-13,0.6996
2016-01-14,0.6980
2016-01-15,0.6864
2016-01-18,
2016-01-19,0.6929
2016-01-20,0.6855
2016-01-21,0.7003
2016-01-22,0.7014
2016-01-25,0.6970
2016-01-26,0.7005
2016-01-27,0.7074
2016-01-28,0.7085
2016-01-29,0.7071
2016-02-01,0.7084
2016-02-02,0.7058
2016-02-03,0.7134
2016-02-04,0.7216
2016-02-05,0.7084
2016-02-08,0.7103
2016-02-09,0.7065
2016-02-10,0.7089
2016-02-11,0.7096
2016-02-12,0.7098
2016-02-15,
2016-02-16,0.7103
2016-02-17,0.7168
2016-02-18,0.7150
2016-02-19,0.7125
2016-02-22,0.7238
2016-02-23,0.7209
2016-02-24,0.7177
2016-02-25,0.7208
2016-02-26,0.7130
2016-02-29,0.7152
2016-03-01,0.7172
2016-03-02,0.7268
2016-03-03,0.7360
2016-03-04,0.7425
2016-03-07,0.7467
2016-03-08,0.7451
2016-03-09,0.7528
2016-03-10,0.7444
2016-03-11,0.7572
2016-03-14,0.7515
2016-03-15,0.7465
2016-03-16,0.7435
2016-03-17,0.7637
2016-03-18,0.7618
2016-03-21,0.7594
2016-03-22,0.7625
2016-03-23,0.7533
2016-03-24,0.7516
2016-03-25,0.7518
2016-03-28,0.7549
2016-03-29,0.7567
2016-03-30,0.7667
2016-03-31,0.7677
2016-04-01,0.7672
2016-04-04,0.7614
2016-04-05,0.7519
2016-04-06,0.7613
2016-04-07,0.7504
2016-04-08,0.7554
2016-04-11,0.7599
2016-04-12,0.7659
2016-04-13,0.7649
2016-04-14,0.7705
2016-04-15,0.7717
2016-04-18,0.7746
2016-04-19,0.7806
2016-04-20,0.7817
2016-04-21,0.7758
2016-04-22,0.7713
2016-04-25,0.7717
2016-04-26,0.7741
2016-04-27,0.7594
2016-04-28,0.7635
2016-04-29,0.7612
2016-05-02,0.7641
2016-05-03,0.7492
2016-05-04,0.7454
2016-05-05,0.7465
2016-05-06,0.7358
2016-05-09,0.7323
2016-05-10,0.7351
2016-05-11,0.7398
2016-05-12,0.7314
2016-05-13,0.7273
2016-05-16,0.7300
2016-05-17,0.7352
2016-05-18,0.7285
2016-05-19,0.7213
2016-05-20,0.7215
